table_name	table_info	table_path	err_ds	err_hour	table_time	project	workflow	task	table_type	person_in_charge	flag	update_type
idata_ods.t_ods_midu_php_launch_h	影响p0核心小时表产出-速看快应用基础表-小时级别	/warehouse/idata_ods.db/t_ods_midu_php_launch_h	2	2		dw_idata	秘读计算			郭金	1	h
idata_ods.t_ods_midu_read_time_h	影响p0核心小时表产出	/warehouse/idata_ods.db/t_ods_midu_read_time_h	2	2		dw_idata	秘读计算			郭金	1	h
idata_ods.t_ods_midu_show_h	影响p0核心小时表产出-速看阅读日志	/warehouse/idata_ods.db/t_ods_midu_show_h	2	2		dw_idata	bmh-arpu人群及曝光标签			郭金	1	h
idata_ods.t_ods_prov4_book_show_h	影响p0核心小时表产出-ios搜索点击实时上传	/warehouse/idata_ods.db/t_ods_prov4_book_show_h	3	3		dw_idata	t_ods_prov4_book_state_h			郭金	1	h
idata_ods.t_ods_prov4_book_state_h	影响p0核心小时表产出-秘读点击解析(用户点击)日志中的json串，落地到表	/warehouse/idata_ods.db/t_ods_prov4_book_state_h	3	3		dw_idata	t_ods_prov4_book_state_h			郭金	1	h
idata_ods.t_ods_qiandao_h	影响p0核心小时表产出-vip自动续费	/warehouse/idata_ods.db/t_ods_qiandao_h	2	2		dw_idata	t_ods_qiandao_h			郭金	1	h
idata_ods.t_ods_recharge_h	影响p0核心小时表产出	/warehouse/idata_ods.db/t_ods_recharge_h	2	2		dw_idata	t_ods_recharge_h			郭金	1	h
idata_ods.t_ods_record_read_bean_h	影响p0核心小时表产出-书城日志ods层	/warehouse/idata_ods.db/t_ods_record_read_bean_h	3	3		dw_idata	t_ods_record_read_bean_h		得间-p0-	郭金	1	h
idata_ods.t_ods_sensors_event_all_distinct_h	影响p0核心小时表产出-秘读启动	/warehouse/idata_ods.db/t_ods_sensors_event_all_distinct_h	3	3		dw_idata	t_ods_sensors_event_all_distinct_h			郭金	1	h
idata_ods.t_ods_srv_recharge_h	影响p0核心小时表产出	/warehouse/idata_ods.db/t_ods_srv_recharge_h	2	2		dw_idata	basic_to_ods_v6_h			郭金	1	h
idata_ods.t_ods_sukan_php_launch_h	影响p0核心小时表产出-6版下载日志(字段为null的统一设为-1)	/warehouse/idata_ods.db/t_ods_sukan_php_launch_h	2	2		dw_idata	t_dwd_sukan_user_run_h			郭金	1	h
idata_ods.t_ods_sukan_read_time_h	影响p0核心小时表产出-神策日志数据，三合一，做了去重	/warehouse/idata_ods.db/t_ods_sukan_read_time_h	2	2		dw_idata	t_dwd_sukan_user_run_h			郭金	1	h
idata_ods.t_ods_sukan_show_h	影响p0核心小时表产出-简介页ods的抽取	/warehouse/idata_ods.db/t_ods_sukan_show_h	2	2		dw_idata	t_dwd_sukan_user_run_h			郭金	1	h
idata_ods.t_ods_third_pushid_h	影响p0核心小时表产出	/warehouse/idata_ods.db/t_ods_third_pushid_h	2	2		dw_idata	t_ods_third_pushid_h			郭金	1	h
